id,parid,code,name,active,ordr,model_class,acl_sysobjid,acl_sysobjcode,created_at,created_by,updated_at,updated_by
801,NULL,ObjLogs,"Журналы значимых событий для объектов системы",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
802,NULL,Jobs,"system jobs",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
803,NULL,Failed_Jobs,"failed system jobs",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
805,NULL,TranslitTypes,"Типы транслитерации",0,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
806,805,Translits,"Правила для транслитерации",0,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
810,NULL,obj_msgs,"Сообщения, связанные с объектами системы",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
811,810,ObjMsg_Rcpts,"Получатели сообщений",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
816,NULL,obj_links,"Взаимосвязи данных",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
818,NULL,objtags,"Тэги/этикетки данных",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
821,NULL,GrpTypes,"Типы групп",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
822,NULL,Groups,"Группы (объектов)",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
823,NULL,GrpItems,"Состав групп (объектов)",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
827,NULL,ImportGroups,"Группы для регулирования импорта данных",1,999999,NULL,NULL,NULL,"2021-10-26 23:43:45",1,"2021-10-26 23:43:45",1
